Data Zone,Local Authority Code,Health domain 2012 rank,Health domain 2012 score1,"Standardised mortality ratio (ISD, 2007-2010) ","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",,Notes
S01003608,260,"1,385",0.71,93,110,78,91,138,0.16,0.05,,
S01003609,260,"3,578",-0.13,90,105,61,24,88,0.1,0.05,,
S01003610,260,877,0.97,155,135,145,45,135,0.18,0.09,,
S01003611,260,129,1.75,183,215,173,200,189,0.15,0.04,,
S01003612,260,"4,080",-0.31,85,140,24,0,84,0.1,0.05,,
S01003613,260,"2,894",0.11,137,125,42,32,93,0.12,0.09,,
S01003614,260,"2,786",0.15,115,80,158,42,93,0.11,0.08,,
S01003615,260,"2,391",0.30,55,150,124,0,107,0.18,0.02,,
S01003616,260,"5,773",-1.06,76,40,30,0,60,0.11,0.11,,
S01003617,260,212,1.58,153,220,336,213,167,0.13,0.02,,
S01003618,260,"1,835",0.51,147,135,66,31,118,0.13,0.05,,
S01003619,260,581,1.16,127,210,215,193,140,0.13,0.07,,
S01003620,260,"5,395",-0.84,85,65,72,0,61,0.09,0.06,,
S01003621,260,241,1.54,148,305,174,147,154,0.17,0.13,,
S01003622,260,950,0.93,118,190,124,58,131,0.17,0.06,,
S01003623,260,"4,731",-0.56,70,70,55,27,74,0.1,0,,
S01003624,260,168,1.66,370,305,190,232,152,0.14,0.12,,
S01003625,260,"4,998",-0.66,29,85,112,46,62,0.13,0.18,,
S01003626,260,"3,633",-0.15,127,115,23,27,86,0.12,0.03,,
S01003627,260,598,1.15,100,170,272,159,143,0.15,0.08,,
S01003628,260,753,1.04,119,165,152,36,148,0.14,0.09,,
S01003629,260,153,1.69,128,225,473,264,164,0.17,0.04,,
S01003630,260,"1,256",0.77,127,185,104,230,113,0.16,0.08,,
S01003631,260,"4,099",-0.32,55,165,33,0,81,0.13,0,,
S01003632,260,"5,940",-1.17,57,75,4,0,64,0.1,0.04,,
S01003633,260,"2,518",0.25,65,155,62,29,106,0.16,0,,
S01003634,260,256,1.51,190,300,154,103,157,0.15,0.05,,
S01003635,260,"1,640",0.60,112,100,264,66,120,0.11,0,,
S01003636,260,288,1.46,131,290,242,243,148,0.16,0.03,,
S01003637,260,"1,208",0.79,146,215,100,54,126,0.12,0,,
S01003638,260,"4,289",-0.39,73,80,53,25,80,0.1,0.04,,
S01003639,260,"1,833",0.52,114,200,59,29,108,0.16,0.08,,
S01003640,260,185,1.62,164,230,176,203,174,0.16,0.03,,
S01003641,260,"4,889",-0.62,59,50,17,0,84,0.12,0.08,,
S01003642,260,"1,403",0.70,218,180,62,58,116,0.15,0,,
S01003643,260,"3,979",-0.28,87,90,71,26,77,0.13,0.03,,
S01003644,260,124,1.76,253,270,309,227,161,0.15,0.06,,
S01003645,260,"1,203",0.79,138,125,157,35,129,0.15,0.05,,
S01003646,260,812,1.00,68,170,279,359,132,0.15,0.07,,
S01003647,260,"1,606",0.62,125,145,69,144,119,0.13,0.12,,
S01003648,260,"2,376",0.31,176,90,63,19,109,0.11,0.1,,
S01003649,260,"2,378",0.31,110,140,83,22,102,0.13,0.1,,
S01003650,260,765,1.04,143,180,234,219,131,0.13,0,,
S01003651,260,"1,546",0.64,115,180,114,25,117,0.14,0.08,,
S01003652,260,891,0.96,123,165,165,27,143,0.13,0.06,,
S01003653,260,45,2.08,224,195,230,112,215,0.18,0.09,,
S01003654,260,237,1.54,189,340,153,173,149,0.2,0.04,,
S01003655,260,547,1.19,129,170,138,32,159,0.14,0.14,,
S01003656,260,573,1.17,116,120,293,276,147,0.14,0.11,,
S01003657,260,433,1.30,141,245,147,101,145,0.19,0.1,,
S01003658,260,"2,538",0.24,102,155,33,22,109,0.14,0,,
S01003659,260,"3,676",-0.17,75,115,71,39,82,0.11,0.05,,
S01003660,260,"6,093",-1.27,26,50,11,68,59,0.11,0.04,,
S01003661,260,"5,149",-0.73,60,75,17,19,72,0.11,0.05,,
S01003662,260,"1,160",0.81,111,130,181,223,125,0.14,0.08,,
S01003663,260,364,1.36,99,155,318,207,166,0.13,0.05,,
S01003664,260,"1,435",0.69,85,135,141,82,130,0.13,0.06,,
S01003665,260,134,1.74,153,160,409,543,179,0.13,0.1,,
S01003666,260,16,2.30,227,185,375,303,224,0.2,0.08,,
S01003667,260,"2,765",0.16,98,130,65,55,96,0.14,0,,
S01003668,260,"1,097",0.84,152,180,101,36,122,0.17,0.11,,
S01003669,260,846,0.98,155,165,156,28,134,0.18,0.03,,
S01003670,260,431,1.30,184,220,281,336,130,0.15,0.09,,
S01003671,260,"1,753",0.55,104,140,71,35,123,0.13,0.12,,
S01003672,260,436,1.30,86,205,142,356,150,0.22,0.2,,
S01003673,260,57,2.01,233,120,477,528,201,0.13,0.15,,
S01003674,260,"1,277",0.76,170,185,78,134,118,0.14,0.03,,
S01003675,260,"3,954",-0.27,98,60,65,22,86,0.1,0.03,,
S01003676,260,"3,515",-0.11,72,100,63,0,95,0.11,0.07,,
S01003677,260,670,1.10,106,155,120,259,145,0.21,0.07,,
S01003678,260,851,0.98,128,160,90,106,144,0.15,0.08,,
S01003679,260,506,1.22,111,250,208,42,145,0.14,0.16,,
S01003680,260,194,1.61,164,180,147,394,174,0.21,0.05,,
S01003681,260,"1,123",0.83,166,140,65,38,139,0.14,0.06,,
S01003682,260,"2,070",0.42,117,125,78,78,114,0.12,0.03,,
S01003683,260,"1,837",0.51,152,140,47,52,112,0.14,0.2,,
S01003684,260,"1,071",0.85,149,180,75,175,133,0.13,0,,
S01003685,260,"2,006",0.44,97,115,77,47,115,0.14,0.19,,
S01003686,260,857,0.98,165,155,124,89,136,0.14,0.12,,
S01003687,260,198,1.61,210,150,296,456,159,0.2,0.07,,
S01003688,260,491,1.24,165,190,180,79,152,0.13,0.06,,
S01003689,260,649,1.12,234,135,152,0,154,0.14,0.09,,
S01003690,260,319,1.41,149,315,163,29,157,0.14,0.05,,
S01003691,260,"2,487",0.26,97,150,39,23,107,0.13,0.13,,
S01003692,260,911,0.95,148,210,120,72,130,0.14,0.07,,
S01003693,260,989,0.90,206,110,90,76,140,0.13,0.13,,
S01003694,260,"2,770",0.16,117,140,36,27,99,0.13,0.06,,
S01003695,260,"1,478",0.67,100,180,124,144,120,0.11,0.06,,
S01003696,260,"1,210",0.79,125,240,102,20,124,0.13,0.07,,
S01003697,260,"4,013",-0.29,89,80,62,0,82,0.13,0.03,,
S01003698,260,"2,414",0.29,122,175,44,0,109,0.13,0,,
S01003699,260,"5,404",-0.85,53,75,26,0,67,0.13,0,,
S01003700,260,952,0.93,129,185,125,26,141,0.13,0.03,,
S01003701,260,413,1.31,144,260,196,225,146,0.13,0.02,,
S01003702,260,382,1.34,451,150,101,118,157,0.15,0.1,,
S01003703,260,703,1.07,139,250,155,54,126,0.18,0.11,,
S01003704,260,414,1.31,138,165,155,268,158,0.15,0.1,,
S01003705,260,923,0.95,140,180,190,46,127,0.15,0.07,,
S01003706,260,155,1.69,183,135,309,127,185,0.15,0.12,,
S01003707,260,173,1.65,137,220,189,167,181,0.15,0.11,,
S01003708,260,248,1.53,85,225,244,391,168,0.16,0.08,,
S01003709,260,66,1.98,158,275,319,285,187,0.16,0.08,,
S01003710,260,246,1.53,147,230,306,219,153,0.18,0.06,,
S01003711,260,72,1.97,239,215,253,153,195,0.16,0.13,,
S01003712,260,324,1.41,166,225,116,50,168,0.15,0.06,,
S01003713,260,913,0.95,119,125,194,48,135,0.16,0.21,,
S01003714,260,"1,932",0.48,198,100,78,0,115,0.16,0.03,,
S01003715,260,"3,361",-0.05,83,115,42,17,90,0.15,0.05,,
S01003716,260,"1,230",0.78,86,175,85,213,127,0.16,0.08,,
S01003717,260,279,1.49,199,190,143,259,161,0.16,0.1,,
S01003718,260,234,1.55,147,140,147,62,194,0.15,0.14,,
S01003719,270,"4,047",-0.30,72,55,50,141,86,0.1,0.05,,
S01003720,270,"5,741",-1.03,69,90,71,0,55,0.08,0,,
S01003721,270,"1,517",0.65,122,120,138,0,141,0.09,0.03,,
S01003722,270,"1,570",0.63,118,135,154,62,124,0.1,0.05,,
S01003723,270,"4,295",-0.39,60,45,92,0,88,0.09,0.11,,
S01003724,270,847,0.98,178,120,250,85,143,0.08,0.06,,
S01003725,270,"3,893",-0.25,84,40,73,232,89,0.08,0.05,,
S01003726,270,"3,475",-0.10,75,45,155,59,97,0.08,0.03,,
S01003727,270,"2,907",0.11,54,60,163,0,121,0.08,0.05,,
S01003728,270,"5,537",-0.92,62,45,42,0,69,0.08,0,,
S01003729,270,"2,061",0.43,80,75,141,134,127,0.08,0.1,,
S01003730,270,"1,448",0.68,96,85,285,81,135,0.08,0.06,,
S01003731,270,762,1.04,145,125,229,259,147,0.08,0.07,,
S01003732,270,"3,009",0.07,93,90,71,29,108,0.08,0.03,,
S01003733,270,603,1.15,151,125,243,90,161,0.08,0.06,,
S01003734,270,"1,772",0.54,100,85,281,0,131,0.08,0.05,,
S01003735,270,"2,149",0.40,120,110,185,134,104,0.08,0.11,,
S01003736,270,582,1.16,116,110,258,188,168,0.08,0.05,,
S01003737,270,"2,119",0.41,70,75,177,0,138,0.08,0.04,,
S01003738,270,"4,557",-0.49,45,45,76,0,92,0.08,0,,
S01003739,270,"5,599",-0.95,63,40,44,0,68,0.07,0.06,,
S01003740,270,"4,138",-0.33,56,70,80,0,87,0.08,0.26,,
S01003741,270,"4,279",-0.38,86,80,65,29,79,0.08,0.03,,
S01003742,270,"3,330",-0.04,63,60,175,0,107,0.08,0,,
S01003743,270,"4,927",-0.63,74,35,34,0,87,0.08,0,,
S01003744,270,"5,594",-0.95,55,45,32,0,70,0.07,0.06,,
S01003745,270,"3,300",-0.03,100,90,208,0,89,0.07,0.1,,
S01003746,270,"4,530",-0.48,83,75,26,34,82,0.07,0.07,,
S01003747,270,"3,755",-0.21,95,110,66,0,89,0.08,0,,
S01003748,270,"3,896",-0.25,59,60,63,55,92,0.08,0.14,,
S01003749,270,"3,025",0.07,104,65,113,0,110,0.08,0.04,,
S01003750,270,"4,837",-0.60,66,45,46,0,84,0.07,0.07,,
S01003751,270,"5,377",-0.84,92,45,61,0,69,0.06,0,,
S01003752,270,"3,295",-0.02,94,70,84,224,97,0.06,0.06,,
S01003753,270,"4,728",-0.56,95,80,36,0,79,0.06,0.04,,
S01003754,270,"3,537",-0.11,100,95,79,0,98,0.06,0.03,,
S01003755,270,"3,164",0.02,78,90,151,37,100,0.06,0.03,,
S01003756,270,"5,409",-0.85,55,50,67,0,70,0.07,0,,
S01003757,270,"4,327",-0.40,70,40,104,0,92,0.05,0.13,,
S01003758,270,"4,452",-0.45,88,75,26,61,77,0.09,0.19,,
S01003759,270,"5,103",-0.71,65,50,26,0,81,0.07,0.06,,
S01003760,270,"5,480",-0.89,43,50,31,0,76,0.07,0,,
S01003761,270,"2,567",0.24,63,80,268,55,110,0.07,0.04,,
S01003762,270,"5,392",-0.84,70,60,16,0,73,0.09,0.03,,
S01003763,270,788,1.02,143,100,265,490,149,0.07,0,,
S01003764,270,"2,923",0.10,98,75,75,31,111,0.07,0.11,,
S01003765,270,"1,518",0.65,108,80,219,74,143,0.05,0.08,,
S01003766,270,"2,969",0.09,158,75,44,0,111,0.07,0.13,,
S01003767,270,"3,201",0.01,112,115,79,30,94,0.07,0.04,,
S01003768,270,"4,224",-0.36,68,45,73,0,96,0.08,0,,
S01003769,270,"4,504",-0.47,91,95,75,0,75,0.08,0,,
S01003770,270,"6,078",-1.26,58,40,19,0,61,0.08,0,,
S01003771,270,"6,073",-1.26,56,45,8,0,65,0.07,0.03,,
S01003772,270,"6,261",-1.45,23,45,22,0,58,0.07,0,,
S01003773,270,"2,778",0.16,93,70,139,40,116,0.05,0.05,,
S01003774,270,"3,832",-0.23,67,35,79,0,115,0.05,0.06,,
S01003775,270,"5,276",-0.78,73,45,61,0,73,0.06,0.03,,
S01003776,270,"5,143",-0.73,68,60,34,0,76,0.08,0,,
S01003777,270,"3,884",-0.25,70,95,58,50,91,0.06,0.02,,
S01003778,270,"4,255",-0.38,36,105,48,9,86,0.1,0.04,,
S01003779,270,"4,535",-0.48,78,30,53,0,93,0.09,0,,
S01003780,270,"4,425",-0.44,120,90,28,27,74,0.1,0.06,,
S01003781,270,"4,879",-0.61,57,60,75,0,75,0.1,0.02,,
S01003782,270,"6,392",-1.68,55,35,5,0,53,0.08,0,,
S01003783,270,"2,115",0.41,109,145,91,142,104,0.11,0.14,,
S01003784,270,"4,635",-0.52,50,80,29,34,83,0.09,0.01,,
S01003785,270,"4,424",-0.44,127,55,35,0,84,0.09,0,,
S01003786,270,"4,778",-0.58,79,70,25,32,77,0.1,0,,
S01003787,270,"5,803",-1.07,32,45,38,0,66,0.1,0,,
S01003788,270,"5,305",-0.80,48,65,76,56,64,0.1,0,,
S01003789,270,"5,640",-0.97,39,25,65,0,71,0.1,0,,
S01003790,270,"2,827",0.14,75,60,228,41,102,0.1,0.05,,
S01003791,270,"3,446",-0.08,52,50,157,84,98,0.09,0.06,,
S01003792,270,"3,695",-0.18,58,125,56,18,90,0.09,0.06,,
S01003793,270,589,1.16,98,80,368,98,171,0.1,0.06,,
S01003794,270,"4,319",-0.40,71,85,108,84,70,0.1,0.07,,
S01003795,270,"5,687",-1.00,65,40,22,0,71,0.07,0,,
S01003796,270,954,0.93,164,110,304,217,130,0.1,0.05,,
S01003797,270,"2,332",0.33,97,115,124,49,108,0.1,0.1,,
S01003798,270,"5,085",-0.70,87,50,62,0,70,0.1,0,,
S01003799,270,"4,798",-0.58,54,35,72,63,79,0.09,0.03,,
S01003800,270,"1,140",0.82,115,105,280,108,134,0.09,0.12,,
S01003801,270,"2,976",0.09,76,85,120,38,99,0.1,0.12,,
S01003802,270,"3,599",-0.14,101,70,134,0,89,0.09,0.05,,
S01003803,270,"5,090",-0.71,63,35,49,0,77,0.1,0.06,,
S01003804,270,"2,867",0.12,114,80,141,173,90,0.1,0.07,,
S01003805,270,"2,405",0.30,128,165,109,81,92,0.11,0.03,,
S01003806,270,"1,514",0.65,103,120,147,36,139,0.09,0,,
S01003807,270,"4,202",-0.35,86,45,37,136,86,0.09,0.09,,
S01003808,270,"1,047",0.87,184,105,318,63,131,0.09,0.03,,
S01003809,270,"1,776",0.54,117,95,188,36,117,0.11,0.15,,
S01003810,270,"4,179",-0.35,94,120,51,0,76,0.1,0.11,,
S01003811,270,"6,061",-1.25,55,50,26,0,57,0.1,0,,
S01003812,270,940,0.94,103,145,297,86,136,0.11,0.08,,
S01003813,270,"4,444",-0.44,95,50,39,0,86,0.09,0.07,,
S01003814,270,"4,782",-0.58,84,55,23,0,85,0.09,0,,
S01003815,270,"2,587",0.23,129,95,174,67,94,0.1,0.03,,
S01003816,270,"5,833",-1.10,53,55,19,24,61,0.1,0.04,,
S01003817,270,874,0.97,120,165,226,550,127,0.11,0.07,,
S01003818,270,"1,261",0.77,156,120,172,61,127,0.11,0.09,,
S01003819,270,"3,610",-0.14,70,115,37,12,95,0.1,0.04,,
S01003820,270,"3,952",-0.27,81,80,67,71,84,0.09,0,,
S01003821,270,"1,383",0.71,141,90,185,219,125,0.11,0.06,,
S01003822,270,"2,605",0.22,190,75,124,48,97,0.09,0.06,,
S01003823,270,"3,124",0.04,136,130,92,0,90,0.09,0.04,,
S01003824,270,"2,961",0.09,95,65,153,127,95,0.11,0,,
S01003825,270,"4,707",-0.55,41,45,36,0,95,0.09,0,,
S01003826,270,"1,107",0.84,100,110,334,183,135,0.09,0.04,,
S01003827,270,"3,125",0.04,126,80,94,0,97,0.11,0.03,,
S01003828,270,"3,793",-0.22,124,95,65,22,79,0.1,0.03,,
S01003829,270,"1,715",0.57,118,100,211,109,115,0.11,0.07,,
S01003830,270,"3,364",-0.05,74,115,78,27,93,0.1,0.02,,
S01003831,270,"4,746",-0.56,64,60,94,0,74,0.11,0,,
S01003832,270,"3,036",0.06,85,100,143,50,95,0.09,0,,
S01003833,270,997,0.89,135,115,239,30,140,0.11,0.09,,
S01003834,270,"2,982",0.08,79,80,86,35,104,0.11,0.07,,
S01003835,270,"4,719",-0.55,73,40,63,0,78,0.11,0.1,,
S01003836,270,"2,996",0.08,141,70,172,0,91,0.1,0.13,,
S01003837,270,733,1.06,131,155,265,147,139,0.11,0.08,,
S01003838,270,"4,155",-0.34,40,65,58,67,89,0.1,0.07,,
S01003839,270,633,1.13,86,105,286,218,163,0.1,0.1,,
S01003840,270,"4,702",-0.55,134,70,55,0,68,0.11,0.05,,
S01003841,270,"4,075",-0.31,56,80,114,184,81,0.07,0,,
S01003842,270,"4,067",-0.31,74,60,31,79,97,0.07,0,,
S01003843,270,"5,770",-1.05,50,55,57,36,60,0.06,0.05,,
S01003844,270,"5,590",-0.95,49,50,24,0,69,0.1,0.06,,
S01003845,270,240,1.54,103,200,481,291,165,0.11,0.13,,
S01003846,270,"4,201",-0.35,59,95,64,0,86,0.08,0.07,,
S01003847,270,"3,083",0.05,125,65,197,0,100,0.06,0.05,,
S01003848,270,"5,065",-0.69,58,40,71,0,75,0.11,0,,
S01003849,270,112,1.78,172,225,369,219,180,0.11,0.15,,
S01003850,270,"4,188",-0.35,63,35,107,158,82,0.1,0.08,,
S01003851,270,"6,002",-1.21,57,50,15,0,61,0.1,0,,
S01003852,270,"4,492",-0.47,94,55,69,0,77,0.11,0.04,,
S01003853,270,131,1.75,96,195,782,441,178,0.1,0.08,,
S01003854,270,"2,832",0.13,87,60,239,162,99,0.06,0.1,,
S01003855,270,802,1.01,146,140,238,213,136,0.11,0.07,,
S01003856,270,"2,220",0.37,92,80,148,29,122,0.1,0.02,,
S01003857,270,"4,640",-0.52,75,50,39,0,83,0.08,0.2,,
S01003858,270,"3,889",-0.25,119,45,96,110,80,0.1,0.04,,
S01003859,270,"6,478",-1.99,34,35,15,0,36,0.1,0.06,,
S01003860,270,31,2.19,181,195,643,708,206,0.11,0.07,,
S01003861,270,"4,071",-0.31,86,55,64,23,83,0.1,0.18,,
S01003862,270,257,1.51,203,130,356,306,166,0.11,0.13,,
S01003863,270,"5,615",-0.96,52,45,30,0,69,0.1,0,,
S01003864,270,"4,387",-0.42,75,80,72,113,75,0.07,0.06,,
S01003865,270,"4,906",-0.63,57,80,52,0,74,0.09,0.06,,
S01003866,270,"2,901",0.11,53,65,173,0,116,0.09,0.09,,
S01003867,270,"2,093",0.42,111,195,149,0,112,0.07,0.03,,
S01003868,270,"6,170",-1.35,57,45,24,0,55,0.07,0.1,,
S01003869,270,"6,246",-1.43,56,45,18,34,52,0.07,0.05,,
S01003870,270,"4,168",-0.34,64,65,75,0,92,0.07,0.05,,
S01003871,270,"4,757",-0.57,75,65,82,0,77,0.07,0,,
S01003872,270,"5,153",-0.73,65,65,37,0,76,0.07,0,,
S01003873,270,"4,143",-0.33,97,110,66,48,75,0.07,0.08,,
S01003874,270,"4,743",-0.56,83,50,43,0,82,0.09,0,,
S01003875,270,"6,177",-1.36,45,60,14,0,57,0.08,0.04,,
S01003876,270,"5,818",-1.08,89,40,8,0,69,0.07,0.05,,
S01003877,270,"6,314",-1.54,65,50,22,0,48,0.07,0.08,,
S01003878,270,"2,204",0.38,125,140,123,0,110,0.09,0.15,,
S01003879,270,"5,656",-0.98,70,50,27,0,67,0.07,0.04,,
S01003880,270,"5,512",-0.90,82,70,45,0,62,0.07,0.1,,
S01003881,270,"5,999",-1.21,49,50,11,0,67,0.06,0.03,,
S01003882,270,"2,090",0.42,118,105,158,280,110,0.08,0,,
S01003883,270,"4,783",-0.58,103,50,125,0,70,0.08,0.04,,
S01003884,270,"2,271",0.35,97,105,209,36,113,0.07,0.03,,
S01003885,270,"4,069",-0.31,86,90,160,40,74,0.08,0,,
S01003886,270,"2,909",0.11,153,65,125,0,102,0.08,0.1,,
S01003887,270,"1,235",0.78,192,195,142,227,113,0.08,0.12,,
S01003888,270,"5,720",-1.02,52,85,29,19,60,0.08,0.04,,
S01003889,270,"4,646",-0.52,82,45,70,91,76,0.07,0.06,,
S01003890,270,"4,853",-0.60,86,55,36,0,78,0.08,0.08,,
S01003891,270,"4,633",-0.52,103,60,40,42,75,0.08,0.06,,
S01003892,270,"4,106",-0.32,89,55,56,41,89,0.08,0,,
S01003893,270,"6,276",-1.48,55,50,9,0,55,0.07,0.06,,
S01003894,270,"2,651",0.20,107,80,113,172,105,0.08,0.05,,
S01003895,270,"5,555",-0.93,102,45,31,0,66,0.07,0.03,,
S01003896,270,"5,433",-0.86,82,55,31,0,67,0.08,0.09,,
S01003897,270,"5,680",-0.99,65,75,21,0,64,0.07,0.1,,
S01003898,270,"5,644",-0.98,86,95,32,0,59,0.08,0,,
S01003899,270,"4,892",-0.62,81,75,89,36,65,0.08,0.11,,
S01003900,270,"4,944",-0.64,70,60,86,0,72,0.08,0.04,,
S01003901,270,"4,550",-0.49,134,75,45,0,77,0.07,0,,
S01003902,270,"4,326",-0.40,90,100,81,0,77,0.07,0.05,,
S01003903,270,"5,906",-1.14,84,45,15,0,64,0.07,0,,
S01003904,270,"2,307",0.34,122,110,203,30,105,0.07,0.1,,
S01003905,270,"5,610",-0.95,75,85,18,28,63,0.07,0.03,,
S01003906,270,"4,180",-0.35,79,60,149,69,77,0.07,0.05,,
S01003907,270,375,1.35,128,155,391,248,169,0.07,0,,
S01003908,270,"2,348",0.32,131,70,128,33,117,0.07,0.13,,
S01003909,270,"5,498",-0.90,63,30,73,0,71,0.07,0,,
S01003910,270,"2,842",0.13,123,70,137,0,108,0.07,0.1,,
S01003911,270,"2,869",0.12,62,90,171,44,101,0.09,0.09,,
S01003912,270,"5,624",-0.96,65,55,7,29,73,0.07,0.02,,
S01003913,270,"5,287",-0.79,87,55,30,0,73,0.07,0,,
S01003914,270,"1,880",0.50,82,115,196,69,121,0.09,0.05,,
S01003915,270,"5,018",-0.67,69,65,54,0,75,0.06,0.09,,
S01003916,270,"5,777",-1.06,86,40,7,65,68,0.06,0.05,,
S01003917,270,"4,232",-0.37,98,95,87,0,82,0.05,0.03,,
S01003918,270,"4,601",-0.51,80,70,48,0,80,0.08,0.06,,
S01003919,270,"1,975",0.46,144,100,91,154,113,0.1,0.13,,
S01003920,270,"2,787",0.15,91,70,112,32,110,0.1,0.03,,
S01003921,270,"1,322",0.73,123,170,115,57,130,0.1,0.06,,
S01003922,270,"1,267",0.76,151,140,153,134,125,0.1,0.07,,
S01003923,270,"2,469",0.27,83,95,100,77,111,0.1,0.11,,
S01003924,270,854,0.98,172,115,150,231,146,0.1,0.03,,
S01003925,270,"3,012",0.07,144,70,77,32,96,0.1,0.1,,
S01003926,270,975,0.91,145,95,223,175,141,0.1,0.07,,
S01003927,270,"4,901",-0.62,55,60,35,0,83,0.08,0.03,,
S01003928,270,"1,197",0.79,94,145,158,329,133,0.1,0.04,,
S01003929,270,"2,358",0.32,97,70,157,0,118,0.1,0.21,,
S01003930,270,"2,769",0.16,89,100,60,30,106,0.1,0.26,,
S01003931,270,"2,279",0.35,101,115,145,165,106,0.1,0,,
S01003932,270,"4,072",-0.31,116,105,31,34,77,0.1,0.1,,
S01003933,270,"5,005",-0.66,74,60,17,0,81,0.09,0.05,,
S01003934,270,"3,846",-0.24,100,85,63,0,87,0.09,0.06,,
S01003935,270,"2,743",0.17,108,105,112,299,94,0.09,0,,
S01003936,270,"4,420",-0.44,95,120,45,59,71,0.09,0,,
S01003937,270,"2,506",0.26,87,150,192,102,94,0.09,0,,
S01003938,270,"5,694",-1.00,54,45,29,0,68,0.09,0,,
S01003939,270,"6,343",-1.57,57,65,0,0,55,0.09,0,,
S01003940,270,"2,390",0.30,81,130,234,160,92,0.09,0.18,,
S01003941,270,"4,846",-0.60,87,50,20,0,84,0.09,0.04,,
S01003942,270,"3,358",-0.05,91,90,96,34,91,0.09,0.07,,
S01003943,270,"2,821",0.14,102,110,121,0,106,0.09,0,,
S01003944,270,"4,257",-0.38,88,75,55,0,82,0.09,0.1,,
S01003945,270,"5,504",-0.90,74,45,27,0,70,0.09,0,,
S01003946,270,"4,412",-0.43,94,90,40,33,76,0.09,0.04,,
S01003947,270,"6,022",-1.22,50,65,52,0,54,0.09,0,,
S01003948,270,"6,349",-1.58,47,40,47,0,48,0.07,0,,
S01003949,270,"4,935",-0.64,51,70,44,0,77,0.09,0.07,,
S01003950,270,"3,582",-0.13,71,60,154,0,94,0.09,0.09,,
S01003951,270,"2,725",0.18,130,60,220,0,103,0.09,0.07,,
S01003952,270,"4,354",-0.41,51,45,43,0,101,0.09,0,,
S01003953,270,"5,014",-0.67,70,75,99,0,68,0.09,0,,
S01003954,270,"3,354",-0.05,109,75,19,57,111,0.09,0,,
S01003955,270,"4,050",-0.30,120,70,187,0,77,0.07,0,,
S01003956,270,"5,348",-0.82,99,65,93,0,62,0.07,0,,
S01003957,270,"3,875",-0.24,94,60,138,0,84,0.09,0.08,,
S01003958,270,"3,560",-0.12,83,95,124,0,91,0.09,0,,
S01003959,270,"4,261",-0.38,85,70,126,0,77,0.09,0.06,,
S01003960,270,"1,817",0.52,115,125,195,31,118,0.09,0.03,,
S01003961,270,"3,809",-0.23,74,75,57,0,94,0.08,0.17,,
S01003962,270,"3,213",0.00,70,75,116,0,111,0.08,0,,
S01003963,270,"5,648",-0.98,99,30,41,0,66,0.08,0,,
S01003964,270,"6,042",-1.24,53,50,19,0,61,0.08,0,,
S01003965,270,"5,062",-0.69,82,55,38,0,75,0.09,0,,
S01003966,270,"3,863",-0.24,82,95,89,31,84,0.08,0,,
S01003967,270,"4,368",-0.42,72,50,95,0,84,0.1,0,,
S01003968,270,"3,406",-0.07,88,130,93,0,93,0.08,0,,
S01003969,270,"2,914",0.11,114,145,41,0,101,0.1,0.12,,
S01003970,270,"4,824",-0.59,77,55,92,0,74,0.09,0,,
S01003971,270,"1,596",0.62,141,105,151,0,129,0.13,0.03,,
S01003972,270,"2,834",0.13,98,100,37,0,114,0.14,0,,
S01003973,270,"3,736",-0.20,79,55,181,0,93,0.07,0,,
S01003974,270,"3,975",-0.28,117,100,90,0,80,0.08,0,,
S01003975,270,"3,888",-0.25,113,50,55,0,90,0.12,0.03,,
S01003976,270,145,1.71,95,110,457,407,199,0.14,0.07,,
S01003977,270,157,1.69,168,90,375,628,185,0.14,0.1,,
S01003978,270,396,1.33,136,80,472,137,168,0.14,0,,
S01003979,270,"1,648",0.60,127,70,149,0,138,0.14,0,,
S01003980,270,"2,995",0.08,110,40,43,0,119,0.14,0.06,,
S01003981,270,"1,628",0.61,95,65,119,134,136,0.14,0.04,,
S01003982,270,"1,863",0.51,119,60,169,127,120,0.14,0,,
S01003983,270,"3,324",-0.03,84,55,91,0,100,0.14,0.06,,
S01003984,270,"1,494",0.66,149,115,107,136,121,0.14,0.03,,
S01003985,270,162,1.67,177,115,403,35,194,0.14,0.07,,
S01003986,270,962,0.92,160,75,176,47,148,0.14,0.03,,
S01003987,270,"3,699",-0.18,132,60,90,0,80,0.14,0.11,,
S01003988,270,"5,376",-0.84,77,60,85,0,64,0.08,0,,
S01003989,270,"2,950",0.09,95,90,53,0,107,0.13,0.08,,
S01003990,270,"4,616",-0.51,106,60,99,0,80,0.04,0,,
S01003991,270,"2,836",0.13,91,60,113,47,104,0.14,0,,
S01003992,270,"3,350",-0.04,91,95,51,115,89,0.12,0.06,,
S01003993,270,"4,546",-0.49,109,55,17,0,82,0.11,0.18,,
S01003994,270,"3,480",-0.10,89,50,56,0,106,0.13,0,,
S01003995,270,"3,910",-0.26,64,100,36,40,87,0.11,0.05,,
